Start Time, Request Type, Latency, Response Code
21:37:58.851989300,POST,3726,200
21:37:59.176790,POST,3404,200
21:37:59.473608100,POST,3108,200
21:37:58.609140500,POST,3975,200
21:38:02.581697600,POST,4,200
21:37:58.278343400,POST,238,200
21:37:59.424638500,POST,3165,200
21:37:59.213767,POST,3380,200
21:37:58.846992800,POST,3749,200
21:37:59.177789300,POST,3420,200
21:37:59.473608100,POST,3126,200
21:38:02.595690,POST,4,200
21:37:59.218764700,POST,3383,200
21:37:58.609140500,POST,3993,200
21:37:58.289334900,POST,4317,200
21:37:59.216766200,POST,3391,200
21:37:59.424638500,POST,3184,200
21:38:02.607682100,POST,3,200
21:37:58.844994,POST,3769,200
21:37:59.177789300,POST,3437,200
21:37:58.454235800,POST,39,200
21:37:58.610138700,POST,4007,200
21:37:59.221762200,POST,3396,200
21:38:02.618676700,POST,4,200
21:37:59.222762300,POST,3401,200
21:37:58.611137300,POST,4028,200
21:37:58.611137300,POST,4030,200
21:37:58.277342900,POST,16,200
21:37:59.224760500,POST,3422,200
21:37:59.226760200,POST,3421,200
21:37:58.274344600,POST,13,200
21:37:58.272345200,POST,12,200
21:37:58.612138,POST,4042,200
21:37:59.227758300,POST,3429,200
21:37:58.223375800,POST,48,200
21:37:58.612138,POST,4048,200
21:37:58.298329600,POST,4363,200
21:37:58.301328400,POST,4361,200
21:38:02.648658,POST,19,200
21:37:58.223375800,POST,47,200
21:37:59.239751300,POST,3436,200
21:37:58.842995400,POST,3834,200
21:37:58.613137200,POST,4065,200
21:37:59.248746700,POST,3430,200
21:37:58.303327100,POST,4376,200
21:37:58.297330400,POST,4383,200
21:37:58.219379300,POST,50,200
21:37:58.613137200,POST,4070,200
21:37:59.251743800,POST,3435,200
21:37:58.304328200,POST,4383,200
21:37:58.842995400,POST,3848,200
21:37:58.219379300,POST,41,200
21:37:58.613137200,POST,4081,200
21:37:58.842995400,POST,3852,200
21:37:58.219379300,POST,4476,200
21:37:58.213383200,POST,39,200
21:37:58.442243200,POST,4257,200
21:37:58.307324300,POST,4392,200
21:37:58.613137200,POST,4087,200
21:37:58.912952900,POST,3789,200
21:37:58.214382100,POST,31,200
21:37:58.306324500,POST,4398,200
21:37:58.614137300,POST,4093,200
21:37:58.309322600,POST,4398,200
21:37:58.843994700,POST,3867,200
21:37:58.785032100,POST,3927,200
21:37:58.209385800,POST,36,200
21:37:58.615135800,POST,4100,200
21:37:58.804018300,POST,3913,200
21:37:58.310322600,POST,4408,200
21:37:58.838998300,POST,3883,200
21:38:02.718613700,POST,4,200
21:37:58.134430600,POST,74,200
21:37:58.614137300,POST,4112,200
21:37:58.816012300,POST,3918,200
21:37:58.107446800,POST,15,200
21:37:59.196777500,POST,3551,200
21:38:02.743599100,POST,6,200
21:37:58.615135800,POST,4134,200
21:37:58.816012300,POST,3933,200
21:37:58.106447700,POST,16,200
21:37:58.616135500,POST,4136,200
21:37:59.218764700,POST,3535,200
21:38:02.751594500,POST,3,200
21:37:58.317317100,POST,4439,200
21:37:56.300557800,POST,459,200
21:37:59.222762300,POST,3543,200
21:37:59.403650200,POST,3363,200
21:37:58.616135500,POST,4155,200
21:37:56.507432200,POST,247,200
21:37:58.816012300,POST,3946,200
21:37:58.616135500,POST,4145,200
21:38:02.758588400,POST,2,200
21:37:58.319320100,POST,4440,200
21:37:59.196777500,POST,3560,200
21:37:58.817011200,POST,3963,200
21:37:59.198775600,POST,3585,200
21:37:59.232755500,POST,3554,200
21:37:59.408648900,POST,3379,200
21:37:58.322314300,POST,4466,200
21:38:02.787571700,POST,4,200
21:37:58.314320100,POST,4430,200
21:37:58.817011200,POST,3976,200
21:37:59.202773800,POST,3593,200
21:37:58.322314300,POST,4475,200
21:37:59.237752200,POST,3561,200
21:37:58.947932800,POST,3794,200
21:37:59.213767,POST,3591,200
21:37:58.617133900,POST,4187,200
21:37:58.616135500,POST,4190,200
21:37:59.238752600,POST,3570,200
21:37:58.312321600,POST,4426,200
21:37:58.818010300,POST,3993,200
21:37:58.327311700,POST,4485,200
21:37:59.252743300,POST,3442,200
21:37:59.219764100,POST,3601,200
21:37:59.242750,POST,3581,200
21:37:58.618133800,POST,4206,200
21:37:59.242750,POST,3448,200
21:37:58.818010300,POST,4009,200
21:37:58.818010300,POST,4011,200
21:37:59.434632300,POST,3396,200
21:37:58.619132700,POST,4214,200
21:37:58.612138,POST,4044,200
21:37:58.825006400,POST,4011,200
21:37:59.245748100,POST,3592,200
21:37:58.333308,POST,4507,200
21:37:59.223761800,POST,3621,200
21:37:58.525191200,POST,4319,200
21:37:58.619132700,POST,4234,200
21:37:59.443626500,POST,3193,200
21:37:59.230757100,POST,3626,200
21:37:58.826005100,POST,4034,200
21:37:59.448623600,POST,3414,200
21:37:58.618133800,POST,4248,200
21:37:59.178788600,POST,3457,200
21:37:58.826005100,POST,4050,200
21:37:59.237752200,POST,3642,200
21:37:58.531187400,POST,4349,200
21:37:58.528189400,POST,4355,200
21:37:59.249745400,POST,3634,200
21:37:59.449623600,POST,3435,200
