Start Time, Request Type, Latency, Response Code
19:48:42.445082700,POST,186,200
19:48:42.381252600,POST,250,200
19:48:42.426132800,POST,204,200
19:48:42.464031800,POST,166,200
19:48:42.458047700,POST,172,200
19:48:42.493951900,POST,141,200
19:48:42.493951900,POST,141,200
19:48:42.381252600,POST,287,200
19:48:42.574735400,POST,61,200
19:48:42.483978200,POST,152,200
19:48:42.465028900,POST,170,200
19:48:42.389230900,POST,246,200
19:48:42.382249900,POST,295,200
19:48:42.352329800,POST,297,200
19:48:42.464031800,POST,172,200
19:48:42.490960400,POST,146,200
19:48:42.474005100,POST,162,200
19:48:42.496943600,POST,140,200
19:48:42.574735400,POST,63,200
19:48:42.475999900,POST,162,200
19:48:42.426132800,POST,211,200
19:48:42.381252600,POST,256,200
19:48:42.466026,POST,171,200
19:48:42.572741600,POST,65,200
19:48:42.493951900,POST,145,200
19:48:42.496943600,POST,142,200
19:48:42.474005100,POST,164,200
19:48:42.491957100,POST,147,200
19:48:42.443087600,POST,195,200
19:48:42.575732800,POST,63,200
19:48:42.349337500,POST,302,200
19:48:42.351332100,POST,302,200
19:48:42.507913800,POST,131,200
19:48:42.351332100,POST,288,200
19:48:42.494949200,POST,145,200
19:48:42.509908800,POST,130,200
19:48:42.503924700,POST,137,200
19:48:42.350334500,POST,290,200
19:48:42.494949200,POST,146,200
19:48:42.442091400,POST,196,200
19:48:42.427130800,POST,213,200
19:48:42.449073,POST,191,200
19:48:42.443087600,POST,197,200
19:48:42.507913800,POST,133,200
19:48:42.348340400,POST,300,200
19:48:42.353326900,POST,286,200
19:48:42.464031800,POST,177,200
19:48:42.510906,POST,131,200
19:48:42.437104900,POST,204,200
19:48:42.493951900,POST,148,200
19:48:42.472010,POST,169,200
19:48:42.494949200,POST,147,200
19:48:42.429125100,POST,213,200
19:48:42.449073,POST,193,200
19:48:42.523871700,POST,119,200
19:48:42.526863100,POST,116,200
19:48:42.481983400,POST,161,200
19:48:42.381252600,POST,306,200
19:48:42.351332100,POST,307,200
19:48:42.351332100,POST,303,200
19:48:42.493951900,POST,150,200
19:48:42.493951900,POST,150,200
19:48:42.492953800,POST,151,200
19:48:42.523871700,POST,120,200
19:48:42.493951900,POST,150,200
19:48:42.496943600,POST,147,200
19:48:42.495946400,POST,148,200
19:48:42.495946400,POST,148,200
19:48:42.431119700,POST,212,200
19:48:42.520879900,POST,124,200
19:48:42.461039200,POST,183,200
19:48:42.449073,POST,195,200
19:48:42.429125100,POST,215,200
19:48:42.492953800,POST,152,200
19:48:42.496943600,POST,148,200
19:48:42.496943600,POST,149,200
19:48:42.519882600,POST,126,200
19:48:42.497941,POST,148,200
19:48:42.426132800,POST,219,200
19:48:42.520879900,POST,125,200
19:48:42.496943600,POST,150,200
19:48:42.435109900,POST,211,200
19:48:42.445082700,POST,201,200
19:48:42.443087600,POST,202,200
19:48:42.495946400,POST,151,200
19:48:42.499936,POST,147,200
19:48:42.461039200,POST,185,200
19:48:42.502928700,POST,144,200
19:48:42.448074100,POST,198,200
19:48:42.521877,POST,126,200
19:48:42.496943600,POST,151,200
19:48:42.496943600,POST,151,200
19:48:42.496943600,POST,151,200
19:48:42.453061400,POST,194,200
19:48:42.463033800,POST,184,200
19:48:42.440096400,POST,207,200
19:48:42.432117900,POST,216,200
19:48:42.503924700,POST,145,200
19:48:42.382249900,POST,311,200
19:48:42.475999900,POST,173,200
19:48:42.381252600,POST,267,200
19:48:42.497941,POST,151,200
19:48:42.484975100,POST,164,200
19:48:42.485973,POST,163,200
19:48:42.485973,POST,163,200
19:48:42.485973,POST,164,200
19:48:42.467023900,POST,182,200
19:48:42.521877,POST,128,200
19:48:42.503924700,POST,146,200
19:48:42.467023900,POST,182,200
19:48:42.648539300,POST,1,200
19:48:42.521877,POST,128,200
19:48:42.503924700,POST,146,200
19:48:42.648539300,POST,1,200
19:48:42.436106800,POST,214,200
19:48:42.508911300,POST,142,200
19:48:42.502928700,POST,148,200
19:48:42.449073,POST,201,200
19:48:42.519882600,POST,132,200
19:48:42.446080,POST,205,200
19:48:42.509908800,POST,142,200
19:48:42.441093,POST,210,200
19:48:42.446080,POST,205,200
19:48:42.449073,POST,202,200
19:48:42.446080,POST,205,200
19:48:42.504922,POST,147,200
19:48:42.446080,POST,206,200
19:48:42.498938100,POST,154,200
19:48:42.504922,POST,148,200
19:48:42.504922,POST,148,200
19:48:42.428128100,POST,224,200
19:48:42.428128100,POST,224,200
19:48:42.497941,POST,155,200
19:48:42.497941,POST,155,200
19:48:42.507913800,POST,146,200
19:48:42.507913800,POST,146,200
19:48:42.498938100,POST,155,200
19:48:42.519882600,POST,135,200
19:48:42.486970300,POST,168,200
19:48:42.490960400,POST,164,200
19:48:42.517888100,POST,137,200
19:48:42.506916600,POST,148,200
19:48:42.438101300,POST,216,200
19:48:42.438101300,POST,216,200
19:48:42.437104900,POST,217,200
19:48:42.507913800,POST,147,200
19:48:42.504922,POST,150,200
19:48:42.653525300,POST,1,200
19:48:42.509908800,POST,146,200
19:48:42.520879900,POST,135,200
19:48:42.507913800,POST,148,200
19:48:42.586704300,POST,69,200
19:48:42.586704300,POST,69,200
19:48:42.586704300,POST,69,200
19:48:42.486970300,POST,169,200
19:48:42.593685100,POST,62,200
19:48:42.437104900,POST,219,200
19:48:42.520879900,POST,136,200
19:48:42.521877,POST,135,200
19:48:42.521877,POST,135,200
19:48:42.521877,POST,135,200
19:48:42.525866700,POST,131,200
19:48:42.442091400,POST,214,200
19:48:42.523871700,POST,134,200
19:48:42.449073,POST,208,200
19:48:42.522875100,POST,135,200
19:48:42.467023900,POST,190,200
19:48:42.526863100,POST,131,200
19:48:42.489962300,POST,168,200
19:48:42.458047700,POST,199,200
19:48:42.522875100,POST,135,200
19:48:42.426132800,POST,228,200
19:48:42.468021400,POST,189,200
19:48:42.446080,POST,211,200
19:48:42.439098200,POST,218,200
19:48:42.526863100,POST,131,200
19:48:42.491957100,POST,166,200
19:48:42.521877,POST,134,200
19:48:42.467023900,POST,190,200
19:48:42.449073,POST,208,200
19:48:42.468021400,POST,190,200
19:48:42.467023900,POST,191,200
19:48:42.468021400,POST,190,200
19:48:42.526863100,POST,132,200
19:48:42.475001900,POST,183,200
19:48:42.476996900,POST,182,200
19:48:42.439098200,POST,219,200
19:48:42.472010,POST,186,200
19:48:42.525866700,POST,133,200
19:48:42.444084600,POST,214,200
19:48:42.526863100,POST,132,200
19:48:42.526863100,POST,132,200
19:48:42.526863100,POST,133,200
19:48:42.476996900,POST,183,200
19:48:42.472010,POST,187,200
19:48:42.525866700,POST,134,200
19:48:42.525866700,POST,134,200
